State/Substate Region,18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Southern 1 (Rockingham),9.14,(6.94 - 11.96),4.07,(2.89 - 5.70),4.67,(3.51 - 6.19)
Southern 2,9.28,(7.25 - 11.80),4.78,(3.49 - 6.52),5.39,(4.15 - 6.97)
New Jersey,7.51,(6.24 - 9.02),3.84,(2.96 - 4.97),4.33,(3.50 - 5.34)
Central,6.85,(5.05 - 9.24),3.90,(2.71 - 5.57),4.28,(3.15 - 5.80)
Metropolitan,7.17,(5.41 - 9.44),3.53,(2.45 - 5.06),4.04,(3.00 - 5.42)
Northern,7.44,(5.66 - 9.74),3.61,(2.56 - 5.08),4.09,(3.07 - 5.43)
Southern,8.64,(6.47 - 11.46),4.46,(3.13 - 6.32),5.05,(3.77 - 6.72)
New Mexico,7.34,(6.12 - 8.77),3.96,(3.10 - 5.05),4.49,(3.68 - 5.46)
Region 1,7.87,(5.96 - 10.33),3.97,(2.81 - 5.58),4.61,(3.49 - 6.05)
Region 2,7.13,(5.21 - 9.68),3.72,(2.56 - 5.36),4.17,(3.04 - 5.68)
Region 3 (Bernalillo),7.65,(5.87 - 9.91),3.82,(2.76 - 5.25),4.37,(3.35 - 5.69)
Region 4,6.65,(4.82 - 9.10),4.20,(2.91 - 6.02),4.61,(3.39 - 6.24)
Region 5,6.92,(5.12 - 9.30),4.26,(2.97 - 6.06),4.72,(3.52 - 6.30)
New York,7.52,(6.73 - 8.41),4.12,(3.52 - 4.80),4.63,(4.09 - 5.24)
Region A,7.18,(6.18 - 8.33),4.06,(3.35 - 4.92),4.50,(3.84 - 5.27)
Region 1,7.37,(5.59 - 9.67),4.17,(3.06 - 5.66),4.72,(3.67 - 6.05)
Region 2,7.12,(5.68 - 8.90),4.20,(3.21 - 5.48),4.65,(3.73 - 5.78)
Region 3,7.32,(5.60 - 9.53),4.05,(2.98 - 5.49),4.43,(3.40 - 5.77)
Region 4,7.03,(5.47 - 9.00),3.83,(2.80 - 5.22),4.24,(3.26 - 5.51)
Region B,7.66,(6.45 - 9.09),3.67,(2.94 - 4.56),4.25,(3.56 - 5.06)
Region 5,7.87,(6.25 - 9.86),3.61,(2.70 - 4.80),4.21,(3.33 - 5.30)
Region 6,7.30,(5.57 - 9.53),3.58,(2.61 - 4.89),4.09,(3.15 - 5.30)
Region 7,7.56,(5.75 - 9.88),4.02,(2.98 - 5.41),4.60,(3.60 - 5.86)
Region C,7.84,(6.81 - 9.02),4.40,(3.67 - 5.27),4.97,(4.30 - 5.75)
Region 8,8.31,(6.39 - 10.74),4.42,(3.27 - 5.95),5.03,(3.93 - 6.42)
Region 9,7.49,(5.74 - 9.72),4.63,(3.45 - 6.18),5.10,(3.99 - 6.50)
Region 10,8.16,(6.27 - 10.56),4.81,(3.57 - 6.45),5.51,(4.35 - 6.97)
Region 11,7.49,(5.77 - 9.68),4.22,(3.15 - 5.65),4.78,(3.75 - 6.07)
Region 12,7.92,(6.12 - 10.19),4.21,(3.13 - 5.65),4.78,(3.76 - 6.06)
Region D,7.70,(6.35 - 9.29),5.00,(4.06 - 6.13),5.45,(4.58 - 6.48)
Region 13,8.00,(5.95 - 10.67),5.09,(3.75 - 6.88),5.57,(4.29 - 7.20)
Region 14,7.39,(5.63 - 9.65),5.09,(3.78 - 6.83),5.49,(4.28 - 7.03)
Region 15,7.74,(5.75 - 10.35),4.82,(3.58 - 6.46),5.31,(4.13 - 6.81)
North Carolina,6.65,(5.53 - 7.97),4.01,(3.17 - 5.06),4.38,(3.59 - 5.33)
CenterPoint/Guilford**,7.03,(5.38 - 9.13),3.83,(2.82 - 5.18),4.27,(3.30 - 5.52)
Guilford,6.69,(4.84 - 9.19),3.72,(2.59 - 5.31),4.17,(3.07 - 5.64)
Durham,5.96,(4.41 - 8.02),3.45,(2.46 - 4.83),3.83,(2.87 - 5.08)
East Carolina,6.65,(4.79 - 9.15),3.97,(2.80 - 5.61),4.41,(3.28 - 5.90)
Eastpointe,6.09,(4.40 - 8.37),3.94,(2.76 - 5.60),4.24,(3.11 - 5.76)
ECCS,6.69,(4.79 - 9.27),*,(* - *),4.90,(3.61 - 6.62)
Mecklenburg,6.82,(4.95 - 9.32),3.55,(2.52 - 4.98),3.98,(2.95 - 5.35)
Pathways,6.46,(4.71 - 8.79),4.46,(3.11 - 6.37),4.71,(3.43 - 6.44)
PBH,6.94,(5.02 - 9.52),4.18,(2.92 - 5.95),4.57,(3.36 - 6.18)
Sandhills,*,(* - *),*,(* - *),4.69,(3.36 - 6.50)
Smoky Mountain,7.18,(5.21 - 9.80),*,(* - *),4.78,(3.46 - 6.58)
Western Highlands,*,(* - *),4.31,(2.97 - 6.21),4.70,(3.39 - 6.48)
North Dakota,6.53,(5.38 - 7.91),3.24,(2.49 - 4.22),3.86,(3.14 - 4.73)
Badlands and West Central,6.18,(4.59 - 8.26),3.15,(2.19 - 4.51),3.62,(2.69 - 4.87)
Lake Region and South Central,6.95,(5.05 - 9.48),3.04,(2.05 - 4.49),3.64,(2.64 - 5.00)
North Central and Northwest,6.66,(4.88 - 9.03),3.36,(2.34 - 4.80),3.90,(2.89 - 5.23)
Northeast,7.20,(5.28 - 9.74),3.33,(2.30 - 4.81),4.39,(3.33 - 5.77)
Southeast,6.11,(4.62 - 8.03),3.35,(2.40 - 4.66),3.91,(3.01 - 5.08)
Ohio,7.83,(7.05 - 8.68),5.29,(4.60 - 6.09),5.65,(5.03 - 6.35)
"Boards 2, 46, 55, and 68",7.71,(5.91 - 10.02),4.87,(3.55 - 6.65),5.26,(4.02 - 6.86)
"Boards 3, 52, and 85",7.64,(5.81 - 9.97),5.48,(3.99 - 7.49),5.79,(4.40 - 7.59)
Boards 4 and 78,7.62,(5.75 - 10.05),5.40,(3.95 - 7.35),5.68,(4.31 - 7.44)
Boards 5 and 60,7.79,(6.06 - 9.97),6.30,(4.76 - 8.30),6.56,(5.18 - 8.30)
"Boards 7, 15, 41, 79, and 84",7.91,(6.17 - 10.08),5.38,(3.96 - 7.25),5.69,(4.36 - 7.39)
"Boards 8, 13, and 83",8.73,(6.61 - 11.45),5.75,(4.26 - 7.71),6.14,(4.73 - 7.95)
Board 9 (Butler),7.96,(6.02 - 10.45),5.87,(4.33 - 7.91),6.21,(4.79 - 8.03)
Board 12,7.77,(5.91 - 10.14),5.21,(3.78 - 7.15),5.63,(4.29 - 7.35)
Boards 18 and 47,6.48,(5.13 - 8.17),4.27,(3.22 - 5.66),4.56,(3.57 - 5.82)
"Boards 20, 32, 54, and 69",7.85,(5.94 - 10.29),5.11,(3.71 - 7.02),5.49,(4.16 - 7.22)
"Boards 21, 39, 51, 70, and 80",8.47,(6.41 - 11.11),5.60,(4.17 - 7.47),5.98,(4.62 - 7.69)
"Boards 22, 74, and 87",8.28,(6.23 - 10.91),5.00,(3.66 - 6.80),5.52,(4.26 - 7.13)
Boards 23 and 45,7.90,(5.92 - 10.46),5.46,(4.10 - 7.24),5.81,(4.54 - 7.42)
Board 25 (Franklin),9.58,(7.68 - 11.89),5.94,(4.47 - 7.85),6.48,(5.11 - 8.18)
"Boards 27, 71, and 73",8.44,(6.30 - 11.22),6.70,(5.03 - 8.88),6.93,(5.36 - 8.92)
"Boards 28, 43, and 67",7.62,(5.84 - 9.89),5.18,(3.84 - 6.96),5.53,(4.28 - 7.12)
Board 31 (Hamilton),7.21,(5.52 - 9.36),4.74,(3.55 - 6.31),5.10,(3.97 - 6.52)
Board 48 (Lucas),6.98,(5.30 - 9.16),5.04,(3.74 - 6.76),5.32,(4.10 - 6.88)
Boards 50 and 76,8.07,(6.16 - 10.51),5.76,(4.19 - 7.86),6.08,(4.61 - 7.96)
Board 57 (Montgomery),7.28,(5.57 - 9.47),5.21,(3.87 - 6.98),5.50,(4.27 - 7.07)
Board 77 (Summit),7.75,(5.95 - 10.03),5.11,(3.82 - 6.82),5.46,(4.25 - 6.99)
Oklahoma,7.91,(6.53 - 9.56),4.49,(3.58 - 5.62),5.02,(4.17 - 6.04)
Central,8.02,(5.87 - 10.88),4.83,(3.46 - 6.70),5.39,(4.08 - 7.08)
East Central,7.89,(5.68 - 10.87),4.55,(3.17 - 6.50),5.06,(3.72 - 6.84)
Northeast,7.56,(5.49 - 10.31),4.24,(2.95 - 6.06),4.80,(3.56 - 6.46)
Northwest and Southwest,9.57,(6.95 - 13.04),4.88,(3.46 - 6.85),5.64,(4.23 - 7.47)
Oklahoma County,7.41,(5.45 - 10.01),4.22,(3.03 - 5.84),4.69,(3.54 - 6.18)
Southeast,7.59,(5.54 - 10.32),4.90,(3.45 - 6.91),5.30,(3.92 - 7.12)
Tulsa County,7.44,(5.48 - 10.03),4.03,(2.90 - 5.59),4.52,(3.43 - 5.93)
Oregon,8.03,(6.73 - 9.56),5.09,(4.06 - 6.38),5.49,(4.53 - 6.64)
Region 1 (Multnomah),8.67,(6.45 - 11.57),5.33,(3.79 - 7.45),5.75,(4.28 - 7.68)
Region 2,7.90,(5.90 - 10.52),4.58,(3.30 - 6.33),5.01,(3.79 - 6.61)
Region 3,7.76,(6.05 - 9.89),5.07,(3.68 - 6.95),5.49,(4.21 - 7.13)
Region 4,7.93,(5.82 - 10.71),5.35,(3.80 - 7.49),5.67,(4.20 - 7.61)
Region 5 (Central),*,(* - *),5.65,(3.95 - 8.02),5.98,(4.37 - 8.14)
Region 6 (Eastern),8.30,(6.08 - 11.23),5.25,(3.61 - 7.56),5.68,(4.12 - 7.78)
Pennsylvania,7.48,(6.66 - 8.40),3.98,(3.39 - 4.66),4.48,(3.93 - 5.09)
Region 1 (Allegheny),8.05,(6.31 - 10.21),3.55,(2.66 - 4.72),4.15,(3.27 - 5.25)
"Regions 3, 8, 9, and 51",8.56,(6.56 - 11.10),4.18,(3.00 - 5.81),4.82,(3.68 - 6.30)
"Regions 4, 11, 37, and 49",7.46,(5.66 - 9.77),4.04,(2.95 - 5.50),4.50,(3.46 - 5.84)
"Regions 5, 18, 23, 24, and 46",7.82,(5.86 - 10.37),4.33,(3.18 - 5.88),4.80,(3.68 - 6.25)
"Regions 6, 12, 16, 31, 35, 45, and 47",8.39,(6.39 - 10.95),4.19,(3.12 - 5.61),4.99,(3.94 - 6.29)
"Regions 7, 13, 20, and 33",7.20,(5.70 - 9.05),3.82,(2.86 - 5.08),4.27,(3.37 - 5.40)
"Regions 10, 15, 27, 32, 43, and 44",8.19,(6.24 - 10.67),4.38,(3.24 - 5.91),4.88,(3.77 - 6.29)
Regions 17 and 21,7.99,(5.97 - 10.63),4.22,(3.08 - 5.76),4.81,(3.70 - 6.24)
"Regions 19, 26, 28, and 42",7.35,(5.66 - 9.48),4.19,(3.15 - 5.55),4.61,(3.62 - 5.85)
"Regions 22, 38, 40, 41, and 48",7.75,(6.06 - 9.87),3.85,(2.84 - 5.20),4.33,(3.35 - 5.57)
Regions 29 and 34,7.03,(5.30 - 9.26),3.69,(2.67 - 5.08),4.14,(3.15 - 5.43)
Regions 30 and 50,7.17,(5.38 - 9.49),4.06,(2.94 - 5.58),4.47,(3.40 - 5.87)
Region 36 (Philadelphia),6.26,(4.91 - 7.95),3.99,(2.94 - 5.39),4.36,(3.39 - 5.58)
Rhode Island,8.63,(7.17 - 10.35),6.22,(4.85 - 7.93),6.60,(5.36 - 8.09)
Bristol and Newport,8.65,(6.34 - 11.70),5.11,(3.58 - 7.26),5.68,(4.23 - 7.60)
Kent,9.76,(7.23 - 13.07),6.37,(4.51 - 8.92),6.79,(5.01 - 9.13)
Providence,8.29,(6.56 - 10.44),6.65,(4.95 - 8.88),6.92,(5.40 - 8.83)
Washington,9.10,(6.73 - 12.20),5.07,(3.51 - 7.26),5.74,(4.25 - 7.72)
South Carolina,6.57,(5.42 - 7.93),3.91,(3.02 - 5.05),4.29,(3.46 - 5.30)
Region 1,7.09,(5.29 - 9.45),4.07,(2.88 - 5.73),4.48,(3.34 - 5.99)
Region 2,6.30,(4.80 - 8.22),3.77,(2.71 - 5.24),4.15,(3.15 - 5.45)
Region 3,6.27,(4.61 - 8.48),3.78,(2.61 - 5.45),4.11,(3.00 - 5.62)
Region 4,6.57,(4.88 - 8.80),3.99,(2.79 - 5.68),4.37,(3.23 - 5.88)
South Dakota,6.80,(5.64 - 8.18),3.56,(2.73 - 4.62),4.06,(3.28 - 5.01)
Region 1,6.76,(4.97 - 9.14),3.19,(2.19 - 4.62),3.78,(2.80 - 5.09)
Region 2,6.55,(4.93 - 8.65),3.85,(2.70 - 5.45),4.24,(3.15 - 5.67)
Region 3,6.85,(5.08 - 9.19),3.26,(2.27 - 4.67),3.93,(2.96 - 5.20)
Region 4,7.36,(5.34 - 10.07),3.72,(2.54 - 5.42),4.31,(3.15 - 5.87)
Region 5,6.44,(4.68 - 8.79),2.98,(2.03 - 4.36),3.45,(2.50 - 4.73)
Region 6,*,(* - *),3.39,(2.27 - 5.02),3.84,(2.74 - 5.34)
Region 7,7.05,(5.14 - 9.60),4.07,(2.83 - 5.84),4.50,(3.30 - 6.10)
Tennessee,7.21,(6.05 - 8.58),4.87,(3.87 - 6.11),5.18,(4.25 - 6.30)
Region 1,7.34,(5.38 - 9.93),4.98,(3.55 - 6.94),5.26,(3.90 - 7.05)
Region 2,7.54,(5.63 - 10.03),5.32,(3.79 - 7.42),5.61,(4.17 - 7.50)
Region 3,7.69,(5.72 - 10.28),5.42,(3.88 - 7.53),5.72,(4.27 - 7.62)
Region 4 (Davidson),6.63,(4.85 - 9.01),4.22,(2.99 - 5.93),4.54,(3.36 - 6.11)
Region 5,7.36,(5.52 - 9.74),4.83,(3.42 - 6.78),5.18,(3.84 - 6.94)
Region 6,8.04,(6.00 - 10.68),5.42,(3.86 - 7.55),5.78,(4.31 - 7.70)
Region 7 (Shelby),5.87,(4.28 - 8.02),3.63,(2.52 - 5.19),3.96,(2.90 - 5.39)
Texas,7.44,(6.67 - 8.30),3.84,(3.29 - 4.49),4.42,(3.91 - 4.98)
Region 1,7.28,(5.52 - 9.54),4.11,(3.01 - 5.58),4.68,(3.64 - 6.01)
Region 2,7.84,(5.83 - 10.45),4.23,(3.03 - 5.86),4.85,(3.68 - 6.35)
Region 3,7.81,(6.65 - 9.16),4.06,(3.30 - 4.99),4.62,(3.91 - 5.44)
Region 3a,8.18,(6.69 - 9.96),3.90,(3.03 - 5.00),4.52,(3.71 - 5.51)
Region 3bc,7.19,(5.71 - 9.03),4.35,(3.26 - 5.79),4.78,(3.76 - 6.05)
Region 4,7.84,(5.93 - 10.31),4.57,(3.30 - 6.29),5.05,(3.84 - 6.63)
Region 5,7.22,(5.47 - 9.47),4.12,(3.05 - 5.54),4.61,(3.57 - 5.92)
Region 6,6.81,(5.59 - 8.27),3.40,(2.64 - 4.38),3.93,(3.20 - 4.80)
Region 6a,6.66,(5.36 - 8.25),3.30,(2.49 - 4.36),3.82,(3.05 - 4.76)
Region 6bc,8.06,(6.04 - 10.68),4.24,(3.04 - 5.87),4.80,(3.64 - 6.31)
Region 7,7.82,(6.43 - 9.48),3.97,(3.13 - 5.01),4.67,(3.88 - 5.63)
Region 7a,8.20,(6.35 - 10.52),3.76,(2.79 - 5.04),4.48,(3.53 - 5.68)
Region 7bcd,7.35,(5.62 - 9.57),4.34,(3.20 - 5.85),5.00,(3.92 - 6.35)
Region 8,7.27,(5.65 - 9.31),3.69,(2.75 - 4.94),4.25,(3.35 - 5.37)
Region 9,7.91,(5.99 - 10.39),3.99,(2.87 - 5.51),4.64,(3.56 - 6.04)
Region 10,7.76,(5.79 - 10.32),3.65,(2.61 - 5.08),4.36,(3.33 - 5.70)
Region 11,7.27,(5.82 - 9.04),3.71,(2.86 - 4.79),4.33,(3.52 - 5.32)
Region 11abd,7.29,(5.56 - 9.50),3.63,(2.68 - 4.89),4.25,(3.32 - 5.43)
Region 11c (Hidalgo),7.24,(5.38 - 9.67),3.86,(2.75 - 5.39),4.47,(3.40 - 5.87)
Utah,9.85,(8.31 - 11.65),5.50,(4.47 - 6.75),6.37,(5.43 - 7.46)
"Bear River, Northeastern, Summit,     Tooele, and Wasatch",10.91,(8.14 - 14.48),6.17,(4.49 - 8.42),7.17,(5.55 - 9.22)
"Central, Four Corners, San Juan,     and Southwest",8.63,(6.34 - 11.64),5.48,(3.87 - 7.70),6.08,(4.56 - 8.07)
Davis County,10.29,(7.65 - 13.71),5.67,(4.11 - 7.78),6.53,(5.02 - 8.46)
Salt Lake County,10.42,(8.20 - 13.15),5.40,(4.10 - 7.09),6.22,(4.99 - 7.74)
Utah County,9.06,(6.83 - 11.93),5.12,(3.80 - 6.87),6.28,(4.98 - 7.88)
"Weber, Morgan",9.92,(7.25 - 13.42),5.54,(3.94 - 7.75),6.27,(4.71 - 8.29)
Vermont,8.78,(7.38 - 10.42),4.31,(3.36 - 5.50),4.96,(4.07 - 6.02)
Champlain Valley,8.04,(6.29 - 10.21),3.91,(2.83 - 5.38),4.59,(3.58 - 5.87)
Rural Northeast,10.39,(7.90 - 13.54),5.29,(3.71 - 7.49),6.00,(4.47 - 7.99)
Rural Southeast,8.74,(6.50 - 11.66),3.99,(2.80 - 5.64),4.57,(3.41 - 6.10)
Rural Southwest,8.58,(6.48 - 11.28),4.20,(2.91 - 6.02),4.79,(3.54 - 6.44)
Virginia,6.87,(5.71 - 8.24),3.97,(3.12 - 5.04),4.40,(3.61 - 5.36)
Region 1,7.26,(5.42 - 9.66),4.28,(3.04 - 6.01),4.76,(3.57 - 6.31)
Region 2,6.87,(5.11 - 9.19),3.27,(2.30 - 4.62),3.70,(2.75 - 4.96)
Region 3,6.62,(4.87 - 8.95),4.76,(3.39 - 6.65),5.05,(3.77 - 6.73)
Region 4,7.26,(5.38 - 9.72),4.02,(2.86 - 5.63),4.50,(3.39 - 5.96)
Region 5,6.51,(4.84 - 8.71),3.96,(2.78 - 5.62),4.38,(3.28 - 5.85)
Washington,7.99,(6.68 - 9.52),4.39,(3.50 - 5.49),4.89,(4.06 - 5.89)
Region 1,7.92,(6.20 - 10.08),4.72,(3.56 - 6.22),5.24,(4.16 - 6.59)
East 1 (previously Region 1),8.15,(6.02 - 10.94),4.87,(3.50 - 6.74),5.40,(4.10 - 7.09)
East 2 (previously Region 2),7.61,(5.57 - 10.32),4.50,(3.17 - 6.36),5.01,(3.74 - 6.69)
Region 2,8.05,(6.44 - 10.03),3.97,(3.03 - 5.19),4.49,(3.58 - 5.62)
North 1 (previously Region 3),7.48,(5.55 - 10.01),4.31,(3.05 - 6.06),4.77,(3.56 - 6.35)
North 2 (previously Region 4),8.45,(6.45 - 11.00),3.78,(2.75 - 5.17),4.34,(3.32 - 5.64)
Region 3,7.95,(6.28 - 10.01),4.78,(3.63 - 6.28),5.22,(4.13 - 6.58)
West 1 (previously Region 5),7.77,(5.76 - 10.40),4.67,(3.29 - 6.57),5.12,(3.82 - 6.83)
West 2 (previously Region 6),8.13,(6.03 - 10.88),4.89,(3.52 - 6.75),5.32,(4.01 - 7.02)
West Virginia,7.98,(6.72 - 9.46),5.64,(4.56 - 6.97),5.94,(4.95 - 7.12)
Region I,8.13,(5.96 - 10.98),4.75,(3.31 - 6.76),5.16,(3.79 - 6.99)
Region II,7.88,(5.80 - 10.63),5.98,(4.29 - 8.26),6.21,(4.63 - 8.29)
Region III,8.27,(6.06 - 11.18),5.52,(3.88 - 7.80),5.83,(4.27 - 7.92)
Region IV,7.14,(5.37 - 9.44),5.12,(3.66 - 7.12),5.46,(4.11 - 7.21)
Region V,9.02,(6.99 - 11.55),6.16,(4.57 - 8.25),6.51,(5.02 - 8.39)
Region VI,7.56,(5.67 - 10.03),5.59,(4.00 - 7.77),5.82,(4.32 - 7.79)
Wisconsin,7.65,(6.41 - 9.11),4.16,(3.30 - 5.24),4.67,(3.86 - 5.65)
Milwaukee,7.91,(5.98 - 10.40),4.08,(2.87 - 5.78),4.64,(3.48 - 6.17)
Northeastern,7.30,(5.50 - 9.63),4.35,(3.14 - 5.99),4.77,(3.62 - 6.26)
Northern,7.50,(5.46 - 10.23),4.30,(2.97 - 6.18),4.74,(3.46 - 6.48)
Southeastern,7.46,(5.53 - 10.00),3.66,(2.58 - 5.17),4.19,(3.12 - 5.60)
Southern,7.79,(5.80 - 10.39),4.40,(3.15 - 6.11),4.92,(3.71 - 6.50)
Western,8.00,(5.98 - 10.61),4.27,(3.06 - 5.93),4.88,(3.71 - 6.40)
Wyoming,8.28,(7.01 - 9.75),4.43,(3.56 - 5.50),5.02,(4.20 - 5.98)
Judicial District 1 (Laramie),8.64,(6.44 - 11.50),4.33,(3.11 - 5.99),4.92,(3.73 - 6.48)
Judicial District 2,8.02,(6.00 - 10.64),4.44,(3.20 - 6.14),5.43,(4.19 - 7.01)
Judicial District 3,7.89,(5.94 - 10.41),4.48,(3.20 - 6.23),5.01,(3.80 - 6.60)
Judicial District 4,*,(* - *),4.28,(3.06 - 5.96),4.83,(3.63 - 6.41)
Judicial District 5,8.70,(6.50 - 11.54),3.96,(2.82 - 5.53),4.62,(3.50 - 6.09)
Judicial District 6,8.14,(5.98 - 10.99),4.94,(3.55 - 6.84),5.40,(4.06 - 7.16)
Judicial District 7 (Natrona),8.41,(6.25 - 11.23),4.92,(3.49 - 6.90),5.44,(4.07 - 7.23)
Judicial District 8,8.81,(6.43 - 11.97),*,(* - *),4.86,(3.62 - 6.49)
Judicial District 9,7.85,(5.72 - 10.69),4.12,(2.90 - 5.82),4.60,(3.40 - 6.18)
